Store,Dept,Date,Weekly_Sales,Sales_Change,IsHoliday,Anomaly_Score
35,59,2010-12-31,5855.31,-20276.969999999998,True,167.72862151327402
4,59,2010-12-31,11310.17,-28411.4,True,164.49186421951154
18,59,2010-12-31,4380.51,-19598.519999999997,True,163.77103026151673
23,94,2011-02-25,0.88,-3548.62,False,140.7306531188001
10,59,2010-12-24,49196.79,25065.38,False,122.69087292814437
12,59,2010-12-24,26504.68,16822.86,False,116.7554548216005
11,59,2010-12-31,7194.48,-18441.77,True,115.81450728318211
23,94,2011-02-18,3549.5,2853.58,False,113.133235201074
14,59,2010-12-24,30901.24,18823.770000000004,False,107.49926432174237
21,59,2010-12-31,4315.94,-9864.29,True,107.04999471239583
10,59,2010-12-31,28309.42,-20887.370000000003,True,102.31606171823037
35,59,2010-12-24,26132.28,12324.06,False,101.94385192821804
10,59,2011-01-07,8023.24,-20286.18,False,99.37234411612702
27,59,2010-12-31,10534.17,-14231.109999999999,True,97.13141521203883
28,59,2010-12-31,5659.49,-12560.000000000002,True,93.78127143238389
4,59,2010-12-17,25437.15,16134.710000000001,False,93.20305893866802
22,59,2010-12-31,5150.58,-13370.460000000001,True,92.8756021470827
27,59,2010-12-24,24765.28,13472.73,False,92.04584707111053
23,94,2010-11-05,7.66,-2277.6600000000003,False,90.33378212148243
23,94,2010-05-21,13.16,-2241.86,False,88.91421897102609
2,59,2010-12-31,12052.16,-15318.400000000001,True,86.97122409422988
14,59,2010-12-31,15735.37,-15165.87,True,86.68757370922546
12,59,2010-12-31,14555.17,-11949.51,True,83.08696813423941
11,59,2010-12-24,25636.25,13170.28,False,82.60384013085198
4,59,2010-12-24,39721.57,14284.419999999998,False,82.49931085897379
21,7,2010-12-31,18998.43,-222331.18,True,82.15760734918906
12,59,2011-01-07,3173.91,-11381.26,False,79.14011019919074
1,59,2010-12-31,6119.02,-11897.720000000001,True,78.43395962943448
20,59,2010-12-31,13142.87,-18319.57,True,77.43515268203072
2,59,2010-12-24,27370.56,13427.600000000002,False,76.30381903767916
23,94,2010-02-12,1898.46,1884.74,True,74.71620831034475
23,94,2010-02-26,0.94,-1858.76,False,73.72330715706468
6,59,2010-12-31,6113.97,-10784.869999999999,True,72.9188864091315
18,59,2010-12-24,23979.03,8549.98,False,71.58168007847274
35,59,2010-12-17,13808.22,8572.11,False,70.90809518283895
10,7,2010-12-31,61731.5,-345257.13,True,69.53802592504387
22,59,2010-12-24,18521.04,9979.18,False,69.37769633439964
45,59,2010-12-31,4050.73,-8871.17,True,69.23770733969037
31,99,2011-12-30,300.01,-4080.0,True,68.86692439100372
35,59,2011-12-23,13232.07,8116.5599999999995,False,67.13983095081095
23,94,2012-05-25,297.1,-1677.9,False,66.55173756512248
24,59,2010-12-31,2901.08,-8100.18,True,65.39223179299152
35,59,2011-12-30,5477.96,-7754.11,True,64.14077073796038
10,94,2011-02-25,16.0,-5541.5,False,63.345238369421324
10,94,2011-02-18,5557.5,5497.49,False,62.7675114434943
23,59,2010-12-31,7459.01,-14884.320000000002,True,61.619172626381825
28,59,2010-12-24,18219.49,8198.560000000001,False,61.36812077815926
2,59,2011-01-07,1370.59,-10681.57,False,60.63439050885
10,94,2010-05-21,9.04,-5247.63,False,59.98797889300894
12,7,2010-12-31,35269.3,-236428.87,True,59.33792494951145
43,1,2012-03-02,70912.01,65064.579999999994,False,59.14044558536908
21,59,2010-12-17,9434.24,5429.6,False,58.78213263189332
43,1,2012-03-09,6855.45,-64056.56,False,58.59148155536114
13,59,2011-01-07,3229.27,-12501.24,False,58.52358634093873
45,59,2010-12-24,12921.9,7506.36,False,58.349410332413186
1,59,2010-12-24,18016.74,8814.780000000002,False,57.975646928774495
28,7,2010-12-31,31723.02,-202640.41,True,57.74021375200753
23,94,2010-10-29,2285.32,1451.1200000000001,False,57.52204704495726
20,59,2010-12-24,31462.44,13547.93,False,57.08940782379224
4,59,2011-01-07,1839.59,-9470.58,False,54.92105872262505
4,59,2011-12-30,5800.47,-9378.34,True,54.387459274500166
21,59,2010-12-24,14180.23,4745.99,False,51.36972803281293
10,59,2012-01-06,1155.47,-10416.83,False,51.04722341165997
10,59,2010-12-17,24131.41,10401.289999999999,False,50.8883814498638
10,7,2011-12-30,90747.31,-250560.69,True,50.47421350264079
23,94,2010-05-14,2255.02,1271.26,False,50.390130054983096
18,59,2010-12-10,9703.81,5980.86,False,50.1009846528311
2,59,2012-01-06,645.68,-8815.11,False,50.0330429473116
27,59,2011-12-30,4824.71,-7266.080000000001,True,49.57030790272708
8,59,2010-12-31,3068.06,-6995.220000000001,True,49.48757924983738
14,59,2011-01-07,7176.68,-8558.69,False,48.93997201348964
18,59,2010-12-17,15429.05,5725.24,False,47.96371766463961
21,7,2010-12-24,241329.61,128697.89999999998,False,47.435451617896554
31,99,2011-12-23,4380.01,2810.01,False,47.430575050971655
20,59,2011-01-07,1947.19,-11195.68,False,47.36256552138659
32,7,2010-12-31,21172.42,-128734.7,True,47.15428840058664
11,7,2010-12-31,27586.73,-207970.56999999998,True,47.056369632724724
24,59,2010-12-24,11001.26,5770.83,False,46.41975589278616
11,59,2010-12-17,12465.97,7356.969999999999,False,46.11562240357777
10,59,2011-12-23,17306.77,9397.82,False,45.974906005856695
3,59,2010-12-31,1454.85,-1968.15,True,45.93694740077186
18,59,2012-01-06,1044.82,-5450.71,False,45.479631825535904
35,59,2011-01-07,396.63,-5458.68,False,45.1532023785618
14,7,2010-12-31,26890.19,-329977.06,True,44.767925832368825
14,59,2011-12-23,14450.28,7765.530000000001,False,44.32222979629374
27,59,2011-12-23,12090.79,6482.530000000001,False,44.31286497145681
21,7,2011-12-30,52526.67,-119526.11,True,44.203989664223016
35,94,2011-02-18,2848.5,2844.96,False,43.73134223476618
35,94,2011-02-25,13.5,-2835.0,False,43.60663871124276
39,7,2010-12-31,23135.82,-203116.62,True,43.46729412578483
31,59,2010-12-31,1663.4,-5000.51,True,43.43750028234094
10,94,2011-05-13,3868.26,3788.26,False,43.24075262201428
13,82,2010-12-31,28764.16,-104804.97,True,42.94457079101033
35,59,2012-01-06,294.34,-5183.62,False,42.87793345163474
45,82,2010-12-31,11635.96,-56349.36000000001,True,42.795510337351466
34,59,2010-12-31,1456.66,-5211.3,True,42.73025233563538
4,7,2010-12-31,40327.46,-253508.32000000004,True,42.496335825042834
15,82,2010-12-31,11233.49,-49897.93,True,42.39499778669403
28,72,2010-11-26,355356.39,322479.10000000003,True,42.25690729034919
19,82,2010-12-31,22437.83,-92358.11,True,41.917659623213126
