From_Dept,To_Dept,Eligible_Weeks,Joint_Events,Support,Confidence,Lift
8,40,2700,21,0.0077777777777777776,0.3,20.76923076923077
40,8,2700,21,0.0077777777777777776,0.5384615384615384,20.76923076923077
4,95,2700,27,0.01,0.5,7.941176470588236
95,4,2700,27,0.01,0.1588235294117647,7.941176470588235
91,97,2618,180,0.06875477463712758,0.728744939271255,6.114917471192775
97,91,2618,180,0.06875477463712758,0.5769230769230769,6.114917471192774
95,97,2618,92,0.03514132925897632,0.7131782945736435,5.98429735639038
97,95,2618,92,0.03514132925897632,0.2948717948717949,5.98429735639038
2,46,2700,23,0.008518518518518519,0.359375,5.952837423312883
46,2,2700,23,0.008518518518518519,0.1411042944785276,5.952837423312883
2,95,2700,21,0.0077777777777777776,0.328125,5.21139705882353
95,2,2700,21,0.0077777777777777776,0.12352941176470589,5.21139705882353
91,95,2700,93,0.034444444444444444,0.32517482517482516,5.16454134101193
95,91,2700,93,0.034444444444444444,0.5470588235294118,5.16454134101193
90,97,2618,227,0.086707410236822,0.6151761517615176,5.161958863178375
97,90,2618,227,0.086707410236822,0.7275641025641025,5.161958863178375
81,95,2700,78,0.028888888888888888,0.3170731707317073,5.035868005738881
95,81,2700,78,0.028888888888888888,0.4588235294117647,5.03586800573888
92,95,2700,119,0.04407407407407407,0.31398416886543534,4.986807387862797
95,92,2700,119,0.04407407407407407,0.7,4.986807387862797
93,97,2452,153,0.06239804241435563,0.3923076923076923,4.907849293563579
97,93,2452,153,0.06239804241435563,0.7806122448979592,4.907849293563579
81,97,2618,132,0.05042016806722689,0.5814977973568282,4.879362927821077
97,81,2618,132,0.05042016806722689,0.4230769230769231,4.879362927821077
83,97,2449,133,0.05430788076766027,0.3715083798882682,4.7141141054216
97,83,2449,133,0.05430788076766027,0.689119170984456,4.7141141054216
3,40,2700,22,0.008148148148148147,0.06790123456790123,4.700854700854701
40,3,2700,22,0.008148148148148147,0.5641025641025641,4.700854700854701
4,81,2700,23,0.008518518518518519,0.42592592592592593,4.67479674796748
81,4,2700,23,0.008518518518518519,0.09349593495934959,4.67479674796748
92,97,2618,180,0.06875477463712758,0.5555555555555556,4.661680911680912
97,92,2618,180,0.06875477463712758,0.5769230769230769,4.661680911680911
92,91,2700,184,0.06814814814814815,0.48548812664907653,4.583279517316457
91,92,2700,184,0.06814814814814815,0.6433566433566433,4.583279517316456
