Store,Dept,Target_Date,Seasonal_Reference,Origin_Sales,Used_Fallback,Prediction,Origin_Date,Horizon_Weeks,Method
1,1,2013-01-25,18378.16,27390.81,False,18378.16,2012-10-26,13,Seasonal baseline
1,2,2013-01-25,41556.23,43134.88,False,41556.23,2012-10-26,13,Seasonal baseline
1,3,2013-01-25,10613.17,9350.9,False,10613.17,2012-10-26,13,Seasonal baseline
1,4,2013-01-25,33613.91,36292.6,False,33613.91,2012-10-26,13,Seasonal baseline
1,5,2013-01-25,21376.42,25846.94,False,21376.42,2012-10-26,13,Seasonal baseline
1,6,2013-01-25,1649.4,4032.5,False,1649.4,2012-10-26,13,Seasonal baseline
1,7,2013-01-25,11228.15,21449.85,False,11228.15,2012-10-26,13,Seasonal baseline
1,8,2013-01-25,34644.25,39255.35,False,34644.25,2012-10-26,13,Seasonal baseline
1,9,2013-01-25,14728.57,41040.84,False,14728.57,2012-10-26,13,Seasonal baseline
1,10,2013-01-25,23650.22,26285.27,False,23650.22,2012-10-26,13,Seasonal baseline
1,11,2013-01-25,17860.35,22399.83,False,17860.35,2012-10-26,13,Seasonal baseline
1,12,2013-01-25,8229.77,8658.41,False,8229.77,2012-10-26,13,Seasonal baseline
1,13,2013-01-25,34312.26,38512.48,False,34312.26,2012-10-26,13,Seasonal baseline
1,14,2013-01-25,12684.05,11150.0,False,12684.05,2012-10-26,13,Seasonal baseline
1,16,2013-01-25,6108.82,9934.63,False,6108.82,2012-10-26,13,Seasonal baseline
1,17,2013-01-25,7237.41,7640.92,False,7237.41,2012-10-26,13,Seasonal baseline
1,18,2013-01-25,1842.47,17934.28,False,1842.47,2012-10-26,13,Seasonal baseline
1,19,2013-01-25,720.98,1640.81,False,720.98,2012-10-26,13,Seasonal baseline
1,20,2013-01-25,3364.8,2680.53,False,3364.8,2012-10-26,13,Seasonal baseline
1,21,2013-01-25,6843.13,8194.63,False,6843.13,2012-10-26,13,Seasonal baseline
1,22,2013-01-25,5593.64,8236.88,False,5593.64,2012-10-26,13,Seasonal baseline
1,23,2013-01-25,13690.78,21460.58,False,13690.78,2012-10-26,13,Seasonal baseline
1,24,2013-01-25,3534.93,7106.74,False,3534.93,2012-10-26,13,Seasonal baseline
1,25,2013-01-25,6350.26,11066.13,False,6350.26,2012-10-26,13,Seasonal baseline
1,26,2013-01-25,4667.16,7412.16,False,4667.16,2012-10-26,13,Seasonal baseline
1,27,2013-01-25,966.46,1712.02,False,966.46,2012-10-26,13,Seasonal baseline
1,28,2013-01-25,641.94,742.48,False,641.94,2012-10-26,13,Seasonal baseline
1,29,2013-01-25,3510.94,4077.2,False,3510.94,2012-10-26,13,Seasonal baseline
1,30,2013-01-25,2507.48,2830.48,False,2507.48,2012-10-26,13,Seasonal baseline
1,31,2013-01-25,1571.13,1413.51,False,1571.13,2012-10-26,13,Seasonal baseline
1,32,2013-01-25,5637.52,5918.47,False,5637.52,2012-10-26,13,Seasonal baseline
1,33,2013-01-25,2350.29,6313.48,False,2350.29,2012-10-26,13,Seasonal baseline
1,34,2013-01-25,7885.38,9972.0,False,7885.38,2012-10-26,13,Seasonal baseline
1,35,2013-01-25,1410.49,1459.47,False,1410.49,2012-10-26,13,Seasonal baseline
1,36,2013-01-25,507.34,1156.34,False,507.34,2012-10-26,13,Seasonal baseline
1,37,2013-01-25,1943.14,2566.42,False,1943.14,2012-10-26,13,Seasonal baseline
1,38,2013-01-25,67827.4,66526.76,False,67827.4,2012-10-26,13,Seasonal baseline
1,40,2013-01-25,55272.9,59287.86,False,55272.9,2012-10-26,13,Seasonal baseline
1,41,2013-01-25,163.37,1784.96,False,163.37,2012-10-26,13,Seasonal baseline
1,42,2013-01-25,6961.76,6786.97,False,6961.76,2012-10-26,13,Seasonal baseline
1,44,2013-01-25,4480.61,6593.58,False,4480.61,2012-10-26,13,Seasonal baseline
1,45,2013-01-25,,20.94,True,20.94,2012-10-26,13,Seasonal baseline
1,46,2013-01-25,16964.23,17950.88,False,16964.23,2012-10-26,13,Seasonal baseline
1,48,2013-01-25,1008.0,3341.0,False,1008.0,2012-10-26,13,Seasonal baseline
1,49,2013-01-25,10203.51,8775.52,False,10203.51,2012-10-26,13,Seasonal baseline
1,52,2013-01-25,1888.9,2530.51,False,1888.9,2012-10-26,13,Seasonal baseline
1,54,2013-01-25,,4.88,True,4.88,2012-10-26,13,Seasonal baseline
1,55,2013-01-25,8142.7,10200.84,False,8142.7,2012-10-26,13,Seasonal baseline
1,56,2013-01-25,1438.75,882.69,False,1438.75,2012-10-26,13,Seasonal baseline
1,58,2013-01-25,2315.0,5295.0,False,2315.0,2012-10-26,13,Seasonal baseline
1,59,2013-01-25,225.3,208.89,False,225.3,2012-10-26,13,Seasonal baseline
1,60,2013-01-25,827.2,918.0,False,827.2,2012-10-26,13,Seasonal baseline
1,67,2013-01-25,5107.73,7319.25,False,5107.73,2012-10-26,13,Seasonal baseline
1,71,2013-01-25,2121.3,1370.83,False,2121.3,2012-10-26,13,Seasonal baseline
1,72,2013-01-25,43660.6,35282.73,False,43660.6,2012-10-26,13,Seasonal baseline
1,74,2013-01-25,8548.08,7986.96,False,8548.08,2012-10-26,13,Seasonal baseline
1,79,2013-01-25,28937.93,29294.29,False,28937.93,2012-10-26,13,Seasonal baseline
1,80,2013-01-25,16269.33,17918.31,False,16269.33,2012-10-26,13,Seasonal baseline
1,81,2013-01-25,28130.16,29107.55,False,28130.16,2012-10-26,13,Seasonal baseline
1,82,2013-01-25,16034.0,19702.26,False,16034.0,2012-10-26,13,Seasonal baseline
1,83,2013-01-25,4912.58,4912.05,False,4912.58,2012-10-26,13,Seasonal baseline
1,85,2013-01-25,2461.93,3818.23,False,2461.93,2012-10-26,13,Seasonal baseline
1,87,2013-01-25,45365.88,51212.09,False,45365.88,2012-10-26,13,Seasonal baseline
1,90,2013-01-25,81580.99,84064.59,False,81580.99,2012-10-26,13,Seasonal baseline
1,91,2013-01-25,59013.67,55472.46,False,59013.67,2012-10-26,13,Seasonal baseline
1,92,2013-01-25,128946.7,132155.74,False,128946.7,2012-10-26,13,Seasonal baseline
1,93,2013-01-25,63776.99,66622.89,False,63776.99,2012-10-26,13,Seasonal baseline
1,94,2013-01-25,58956.82,60278.73,False,58956.82,2012-10-26,13,Seasonal baseline
1,95,2013-01-25,102202.04,117375.38,False,102202.04,2012-10-26,13,Seasonal baseline
1,96,2013-01-25,31542.9,36851.92,False,31542.9,2012-10-26,13,Seasonal baseline
1,97,2013-01-25,29976.37,32830.52,False,29976.37,2012-10-26,13,Seasonal baseline
1,98,2013-01-25,10648.56,12702.86,False,10648.56,2012-10-26,13,Seasonal baseline
2,1,2013-01-25,22833.08,41615.24,False,22833.08,2012-10-26,13,Seasonal baseline
2,2,2013-01-25,58151.34,62475.44,False,58151.34,2012-10-26,13,Seasonal baseline
2,3,2013-01-25,15066.45,10731.67,False,15066.45,2012-10-26,13,Seasonal baseline
2,4,2013-01-25,40933.71,46098.84,False,40933.71,2012-10-26,13,Seasonal baseline
2,5,2013-01-25,25254.46,30891.9,False,25254.46,2012-10-26,13,Seasonal baseline
2,6,2013-01-25,5038.36,5253.54,False,5038.36,2012-10-26,13,Seasonal baseline
2,7,2013-01-25,18248.43,37302.54,False,18248.43,2012-10-26,13,Seasonal baseline
2,8,2013-01-25,55483.3,63992.36,False,55483.3,2012-10-26,13,Seasonal baseline
2,9,2013-01-25,21078.2,34790.0,False,21078.2,2012-10-26,13,Seasonal baseline
2,10,2013-01-25,29219.57,34260.76,False,29219.57,2012-10-26,13,Seasonal baseline
2,11,2013-01-25,23482.78,21167.76,False,23482.78,2012-10-26,13,Seasonal baseline
2,12,2013-01-25,6952.79,8060.19,False,6952.79,2012-10-26,13,Seasonal baseline
2,13,2013-01-25,42017.51,47892.06,False,42017.51,2012-10-26,13,Seasonal baseline
2,14,2013-01-25,19828.28,18348.17,False,19828.28,2012-10-26,13,Seasonal baseline
2,16,2013-01-25,6766.53,7487.94,False,6766.53,2012-10-26,13,Seasonal baseline
2,17,2013-01-25,12628.27,12016.19,False,12628.27,2012-10-26,13,Seasonal baseline
2,18,2013-01-25,2345.21,26085.43,False,2345.21,2012-10-26,13,Seasonal baseline
2,19,2013-01-25,2721.4,4315.0,False,2721.4,2012-10-26,13,Seasonal baseline
2,20,2013-01-25,4868.72,3690.65,False,4868.72,2012-10-26,13,Seasonal baseline
2,21,2013-01-25,7767.15,7985.45,False,7767.15,2012-10-26,13,Seasonal baseline
2,22,2013-01-25,13919.73,13208.75,False,13919.73,2012-10-26,13,Seasonal baseline
2,23,2013-01-25,19032.57,26574.0,False,19032.57,2012-10-26,13,Seasonal baseline
2,24,2013-01-25,4313.9,7820.52,False,4313.9,2012-10-26,13,Seasonal baseline
2,25,2013-01-25,9977.79,12962.63,False,9977.79,2012-10-26,13,Seasonal baseline
2,26,2013-01-25,5831.27,9258.88,False,5831.27,2012-10-26,13,Seasonal baseline
2,27,2013-01-25,1731.93,2105.89,False,1731.93,2012-10-26,13,Seasonal baseline
2,28,2013-01-25,900.94,1025.47,False,900.94,2012-10-26,13,Seasonal baseline
2,29,2013-01-25,5831.56,5563.13,False,5831.56,2012-10-26,13,Seasonal baseline
2,30,2013-01-25,3680.4,3869.88,False,3680.4,2012-10-26,13,Seasonal baseline
2,31,2013-01-25,3095.22,3263.14,False,3095.22,2012-10-26,13,Seasonal baseline
2,32,2013-01-25,8173.39,7406.89,False,8173.39,2012-10-26,13,Seasonal baseline
2,33,2013-01-25,3266.48,6969.78,False,3266.48,2012-10-26,13,Seasonal baseline
2,34,2013-01-25,10999.44,16047.51,False,10999.44,2012-10-26,13,Seasonal baseline
2,35,2013-01-25,3162.24,2671.37,False,3162.24,2012-10-26,13,Seasonal baseline
2,36,2013-01-25,815.37,1033.32,False,815.37,2012-10-26,13,Seasonal baseline
2,37,2013-01-25,4172.6,3999.22,False,4172.6,2012-10-26,13,Seasonal baseline
2,38,2013-01-25,80493.1,70757.72,False,80493.1,2012-10-26,13,Seasonal baseline
2,40,2013-01-25,76568.94,77608.73,False,76568.94,2012-10-26,13,Seasonal baseline
2,41,2013-01-25,687.0,1934.51,False,687.0,2012-10-26,13,Seasonal baseline
2,42,2013-01-25,7766.11,8658.25,False,7766.11,2012-10-26,13,Seasonal baseline
2,44,2013-01-25,6550.52,11080.74,False,6550.52,2012-10-26,13,Seasonal baseline
2,46,2013-01-25,24409.99,26984.28,False,24409.99,2012-10-26,13,Seasonal baseline
2,48,2013-01-25,397.0,1420.0,False,397.0,2012-10-26,13,Seasonal baseline
2,49,2013-01-25,14359.17,12565.94,False,14359.17,2012-10-26,13,Seasonal baseline
2,52,2013-01-25,3561.4,3589.04,False,3561.4,2012-10-26,13,Seasonal baseline
2,54,2013-01-25,40.76,23.92,False,40.76,2012-10-26,13,Seasonal baseline
