Store,Mean_Weekly_Sales,Std_Weekly_Sales,Observed_Weeks,Sales_CV,Holiday_Ratio,Type,Size,Segment,Segment_Name
1,1550732.722051282,167987.91191383978,117,0.10832808873190496,1.0811613190798162,A,151315,0,"Larger stores, higher sales"
2,1932396.1441025643,260227.97560546608,117,0.13466595677063933,1.0942595569411602,A,202307,0,"Larger stores, higher sales"
3,399466.37094017095,50111.562462294074,117,0.12544626058096742,1.1138917070713537,B,37392,1,"Smaller stores, lower variability"
4,2081085.3376923075,291391.6907397472,117,0.14001909746904864,1.0918088433467048,A,205863,0,"Larger stores, higher sales"
5,315845.7447008547,40709.50624773463,117,0.12889046925831343,1.154935783239339,B,34875,1,"Smaller stores, lower variability"
6,1566477.2955555557,229453.47209557085,117,0.14647736851761678,1.0852894764526624,A,202505,0,"Larger stores, higher sales"
7,564849.4008547008,116120.53805606964,117,0.20557787240344427,1.2260169449625484,B,70713,0,"Larger stores, higher sales"
8,908506.0771794872,116670.76800770446,117,0.12842045962963286,1.0859686743251253,A,155078,0,"Larger stores, higher sales"
9,541665.2405128205,75126.94733917703,117,0.13869626795334095,1.1004840576661488,B,125833,0,"Larger stores, higher sales"
10,1927403.9946153846,326137.4922051365,117,0.16921075867657812,1.131379651884471,B,126512,0,"Larger stores, higher sales"
11,1359935.4164957264,180570.17307227923,117,0.13277849145040385,1.083731816291136,A,207499,0,"Larger stores, higher sales"
12,1015055.1027350427,151245.09818686062,117,0.14900185987867473,1.1548888153200567,B,112238,0,"Larger stores, higher sales"
13,1993573.5278632478,290672.83255107084,117,0.14580492190956199,1.062031105561524,A,219622,0,"Larger stores, higher sales"
14,2085330.3718803418,304664.08605526935,117,0.14609871421982593,1.030859016055502,A,200898,0,"Larger stores, higher sales"
15,629125.2466666667,131034.32656640527,117,0.20828019104410858,1.1577627911434196,B,123737,0,"Larger stores, higher sales"
16,515714.2306837607,91789.04920521681,117,0.17798432493033617,1.1150913852847695,B,57197,0,"Larger stores, higher sales"
17,879203.8442735043,113494.66247063715,117,0.12908799615681732,1.086759246228673,B,93188,0,"Larger stores, higher sales"
18,1090363.472905983,193081.68943386315,117,0.17708011523833547,1.088632153225321,B,120653,0,"Larger stores, higher sales"
19,1454681.8952136752,207643.55782176743,117,0.14274155642204311,1.098485773747806,A,203819,0,"Larger stores, higher sales"
20,2110455.372820513,301903.6298374986,117,0.1430514161661804,1.081250820080692,A,203742,0,"Larger stores, higher sales"
21,770215.9316239316,137137.69263774544,117,0.1780509685752706,1.1087587070320926,B,140167,0,"Larger stores, higher sales"
22,1031758.3561538461,176415.06591740376,117,0.1709848675953911,1.0664041448404609,B,119557,0,"Larger stores, higher sales"
23,1379778.7186324787,270939.904107189,117,0.1963647507012733,1.0684266242009337,B,114533,0,"Larger stores, higher sales"
24,1351908.6582905983,180317.47383204274,117,0.1333799238034636,1.0992875152036294,A,203819,0,"Larger stores, higher sales"
25,706192.568974359,124119.39268046817,117,0.17575856520372815,1.0632968244524061,B,128107,0,"Larger stores, higher sales"
26,994470.881025641,117635.50294085374,117,0.11828953988027395,1.0838558491650252,A,152513,0,"Larger stores, higher sales"
27,1786186.2344444445,258338.15526661676,117,0.14463114219832032,1.0681739410496933,A,204184,0,"Larger stores, higher sales"
28,1340611.5448717948,188670.25688842515,117,0.14073447122706081,1.1129605805397451,A,206302,0,"Larger stores, higher sales"
29,542184.0524786325,107821.52838513043,117,0.19886517851680943,1.1457245465875785,B,93638,0,"Larger stores, higher sales"
30,439389.0028205128,24693.51569615666,117,0.05619966712331165,0.9946673722287841,C,42988,1,"Smaller stores, lower variability"
31,1398965.0652991452,137767.0540794818,117,0.09847783729325839,1.0911044722588403,A,203750,0,"Larger stores, higher sales"
32,1160901.693076923,151103.43524420445,117,0.13016040560997968,1.0481891446195275,A,203007,0,"Larger stores, higher sales"
33,258226.3100854701,25094.186110829323,117,0.09717904462377758,1.007219722501633,A,39690,1,"Smaller stores, lower variability"
34,966396.9021367521,114978.31530057662,117,0.11897628712007849,1.0935614473630133,A,158114,0,"Larger stores, higher sales"
35,932398.3565811965,230330.57946810333,117,0.2470302289170169,1.1789138034344466,B,103681,0,"Larger stores, higher sales"
36,389692.70743589744,54694.894833386374,117,0.14035390909229015,0.9616398066012597,A,39910,1,"Smaller stores, lower variability"
37,518116.1935897436,23002.31078253631,117,0.0443960468078905,0.973422462142986,C,39910,1,"Smaller stores, lower variability"
38,375478.3562393162,38818.41037451134,117,0.10338388279768088,0.9825579054025966,C,39690,1,"Smaller stores, lower variability"
39,1423388.4839316239,228931.44772560618,117,0.1608355345782069,1.0929181904486962,A,184109,0,"Larger stores, higher sales"
40,958466.1098290598,127104.92922336704,117,0.13261285706391424,1.0461147602883096,A,155083,0,"Larger stores, higher sales"
41,1242638.5249572648,196687.67116255162,117,0.1582822898310801,1.0753694127401223,A,196321,0,"Larger stores, higher sales"
42,553928.5351282051,51047.55138723254,117,0.09215548243135324,1.0161394264041093,C,39690,1,"Smaller stores, lower variability"
43,636563.7544444444,42770.34837770074,117,0.06718941830897708,0.9936825694605586,C,41062,1,"Smaller stores, lower variability"
44,294875.1621367521,19635.639217051877,117,0.06658966823372393,0.9868454441494325,C,39910,1,"Smaller stores, lower variability"
45,791851.8159829059,141954.8608065269,117,0.17926947686584754,1.0718029224092236,B,118221,0,"Larger stores, higher sales"
